clean_name,clean_price,clean_rating,processor_brand,processor_core,generation,clean_ram,clean_os,clean_display,touchscreen,clean_ssd,clean_hdd,clean_warranty
HP,49990,4.3,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
HP,41990,4.2,Intel,Intel Core i3,12,8,Windows 11 ,14.0,0,512,0,1
HP,31990,4.0,AMD,Ryzen Multi Core,0,8,Windows 11 ,15.6,0,512,0,1
APPLE,75990,4.7,Apple,M1,0,8,Mac OS ,13.3,0,256,0,1
ASUS,40990,4.3,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,512,0,1
ASUS,34990,4.3,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,512,0,1
Lenovo,33990,4.1,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
HP,19990,3.7,Intel,Intel Multi Core,0,4,Chrome ,14.0,1,0,0,1
HP,52990,4.3,Intel,Intel Core i5,11,16,Windows 11 ,15.6,0,512,0,1
Lenovo,35990,4.2,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,512,0,2
HP,57990,4.4,AMD,Ryzen 5,0,16,Windows 11 ,14.0,0,512,0,1
Primebook,13990,4.1,MediaTek,MediaTek MT8788,0,4,Prime OS ,11.6,0,0,0,1
HP,33990,4.1,AMD,Ryzen 3,0,8,Windows 11 ,15.6,0,512,0,1
HP,39990,4.2,Intel,Intel Core i3,12,8,Windows 11 ,15.6,0,512,0,1
Lenovo,78990,4.2,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,1
realme,32990,4.4,Intel,Intel Core i3,11,8,Windows 10 ,14.0,0,256,0,1
HP,45350,4.4,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
HP,102990,4.2,Intel,Intel Core i5,13,16,Windows 11 ,16.1,0,512,0,1
HP,34490,4.3,Intel,Intel Core i3,11,8,Windows 11 ,14.0,0,256,0,1
HP,40999,4.3,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
CHUWI,19990,4.5,Intel,Intel Multi Core,11,8,Windows 11 ,14.1,0,256,0,1
HP,56990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,14.0,0,512,0,1
